Sample_ID,Island,Province,Sampling_Location,Fish_Market,Date_of_Collection,Species,Total_Length_cm,Standard_Length_cm,Body_Depth_cm,Total_Weight_g,TW_TL,Image_ID,Gonad_Weight_g,GSI,Gonad_Image_ID,1_10th_Gonad_Weight_g,Gonadal_Stage,Sex,Pop_Size,Pop_Density ,Num_RegisteredFishers,Distance_from_PopHub,Habitat_Area,Pop_Size_Div_HabArea,Num_RegisteredFishers_Div_HabArea,Gear_Type,B_value,Notes
1,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.7,15.7,5.2,95.04,5.082352941,IMG_2788,3.17,3.33543771,IMG_2981,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,Sfu = Siganus fuscescens
2,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,16.2,13.6,4.37,54.42,3.359259259,IMG_2789,0.77,1.414920985,IMG_2967,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,6/16: caught by fish trap (circular)
3,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.5,14.8,4.66,73.3,4.188571429,IMG_2790,3.35,4.570259209,IMG_2964,,2.5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,6/17: caught by fish trap (circular) and spear
4,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19,16.8,5.16,88.26,4.645263158,IMG_2791,4.11,4.656696125,IMG_2960,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,6/18: caught by fish trap (circular)
5,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17,14.4,4.61,65.92,3.877647059,IMG_2792,2.54,3.85315534,IMG_2963,,2.5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,Lm = 15 cm
6,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.3,14.3,3.99,66.07,3.819075145,IMG_2793,1.76,2.66384138,IMG_2998,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,Body depth determined from tpsDig
7,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.6,15.2,5.17,81.09,4.359677419,IMG_2794,2.61,3.218645949,IMG_2961,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
8,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.4,14.6,4.71,70.2,4.034482759,IMG_2795,2.31,3.290598291,IMG_2999,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
9,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.7,15.5,4.86,79.6,4.256684492,IMG_2796,2.46,3.090452261,IMG_2966,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
10,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.9,14.7,4.61,70.09,3.915642458,IMG_2797,0.74,1.055785419,IMG_2976,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
11,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.4,15.9,5.31,94.43,4.867525773,IMG_2799,3.74,3.96060574,IMG_2957,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
12,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.5,16.2,5.31,102.76,5.26974359,IMG_2800,2.67,2.598287271,IMG_2958,,2.5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
13,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.5,16.1,5.46,101.25,5.192307692,IMG_2801,2.38,2.350617284,IMG_2977,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
14,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,23.5,20.2,6.79,205.21,8.732340426,IMG_2802,15.18,7.397300326,IMG_2975,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
15,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.9,15.8,5.11,97.89,5.179365079,IMG_2803,6.26,6.394933088,IMG_2978,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
16,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.7,15.7,5.01,89.86,4.805347594,IMG_2805,2.07,2.303583352,IMG_2965,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
17,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.5,15.3,4.91,82.47,4.457837838,IMG_2806,4.04,4.898751061,IMG_2959,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
18,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,15.7,13.2,4.27,54.45,3.468152866,IMG_2807,0.81,1.487603306,IMG_2962,,2,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
19,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.4,15.4,5.21,88.89,4.830978261,IMG_2808,3.56,4.004949938,IMG_2979,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
20,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.5,14.6,4.62,68.93,3.938857143,IMG_2811,0.96,1.392717249,IMG_2954,,2,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
21,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.5,15.8,5.01,83.6,4.287179487,IMG_2812,2.85,3.409090909,IMG_2997,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
22,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.1,15.4,4.81,72.26,3.992265193,IMG_2813,1.46,2.020481594,IMG_2974,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
23,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18,15.6,5.16,87.67,4.870555556,IMG_2814,2.3,2.623474393,IMG_2994,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
24,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.6,15.2,5.08,84.65,4.551075269,IMG_2815,2.12,2.504430006,IMG_2989,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
25,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,17.9,14.6,4.83,73.29,4.094413408,IMG_2817,2.03,2.769818529,IMG_2993,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
26,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,21.6,18.4,6.15,154.29,7.143055556,IMG_2818,12.48,8.088664204,IMG_2990,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
27,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.7,16.4,5.32,103.4,5.248730964,IMG_2819,3.18,3.075435203,IMG_2955,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
28,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,23.7,19.8,6.79,197.65,8.339662447,IMG_2821,10.98,5.555274475,IMG_3000,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
29,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.5,16,5.16,97.12,4.980512821,IMG_2822,5.11,5.261532125,IMG_2984,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
30,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,23.3,19,6.7,195.53,8.391845494,IMG_2825,21.69,11.09292692,IMG_2980,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
31,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,24.2,20.2,7.29,252.43,10.43099174,IMG_2826,13.39,5.304440835,IMG_2982,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
32,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.1,16.2,5.57,112.03,5.865445026,IMG_2827,6.32,5.641346068,IMG_2956,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
33,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,18.2,15.2,5.2,90.99,4.999450549,IMG_2828,3.55,3.90152764,IMG_2996,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
34,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/16/2019,Sfu,19.1,16.2,5.61,99.33,5.20052356,IMG_2829,4.75,4.782039666,IMG_2985,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
35,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,23.7,19.7,6.72,174.7,7.371308017,IMG_2871,11.92,6.823125358,IMG_2969,,3,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
36,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,22.8,19.6,6.26,155.27,6.810087719,IMG_2872,6.24,4.018805951,IMG_2988,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
37,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,17.7,15.1,4.89,72.69,4.106779661,IMG_2873,1.3,1.788416563,IMG_2973,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
38,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.8,15.5,4.71,77.59,4.12712766,IMG_2875,2.17,2.796752159,IMG_2986,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
39,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.7,15.3,4.97,84.46,4.51657754,IMG_2877,4.48,5.304286053,IMG_2992,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
40,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.9,15.6,5.07,75.82,4.011640212,IMG_2878,1.06,1.398048008,IMG_2987,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
41,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.4,16,5.21,93.31,5.071195652,IMG_2879,2.58,2.764976959,IMG_2972,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
42,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,22,18.6,5.77,136.03,6.183181818,IMG_2881,1.77,1.301183562,IMG_2991,,2,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
43,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.6,16,5.36,88.01,4.73172043,IMG_2882,1.78,2.022497443,IMG_2971,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
44,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18,15.2,4.69,69.78,3.876666667,IMG_2883,0.8,1.146460304,IMG_2970,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
45,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/17/2019,Sfu,18.1,15.5,5.16,87.85,4.85359116,IMG_2884,3.42,3.892999431,IMG_2968,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
46,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,19.3,16.7,6,127.24,6.592746114,IMG_3001,4.1,3.222257152,IMG_3022,,2,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
47,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,21.7,18.6,6.64,182.45,8.407834101,IMG_3003,9.06,4.965744039,IMG_3023,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
48,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,17.9,15.2,4.91,85.9,4.798882682,IMG_3004,1.05,1.222351572,IMG_3024,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
49,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,24.7,20.7,7.44,259.24,10.49554656,IMG_3005,10.14,3.911433421,IMG_3025,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
50,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,19.5,16.2,5.46,105.12,5.390769231,IMG_3006,2.64,2.511415525,IMG_3026,,2,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
51,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,19,15.7,5.4,104.48,5.498947368,IMG_3007,4.6,4.402756508,IMG_3027,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
52,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,21.9,18.8,6.39,184.1,8.406392694,IMG_3008,14.65,7.957631722,IMG_3028,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
53,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,14.6,12.2,4.31,50.47,3.456849315,IMG_3009,0.73,1.446403804,IMG_3029,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
54,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,21.3,18,6.1,145.49,6.830516432,IMG_3011,2.21,1.519004743,IMG_3030,,2.5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
55,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,22.6,19.3,6.68,211.47,9.357079646,IMG_3012,25.13,11.88348229,IMG_3031,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
57,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,17.6,15.3,5.3,96.27,5.469886364,IMG_3014,2.31,2.399501402,IMG_3032,,4,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
58,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,17.1,15,5.05,86.95,5.084795322,IMG_3015,2.95,3.392754457,IMG_3033,,5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
59,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,18.4,15.6,5.6,104.01,5.652717391,IMG_3016,2.01,1.93250649,IMG_3034,,2.5,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
60,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,18.5,15.6,5.4,113.5,6.135135135,IMG_3017,11.27,9.929515419,IMG_3035,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
61,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,17.9,15.1,4.86,82.18,4.591061453,IMG_3018,1.41,1.715745924,IMG_3036,,3,M,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.509,
62,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/18/2019,Sfu,20.7,17.5,6.55,164.43,7.943478261,IMG_3019,13.45,8.179772548,IMG_3037,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
63,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/24/2019,Sfu,21.9,18.6,6.69,175.61,8.018721461,IMG_3052,12.32,7.015545812,IMG_3091,,5,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,"Caught after new moon, some speared"
64,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/24/2019,Sfu,24.9,21.6,7.05,228.25,9.166666667,IMG_3053,10.61,4.648411829,IMG_3089,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
66,Negros,Negros Oriental,Dumaguete,N/A (caught by Corro),6/24/2019,Sfu,23.9,20.3,6.99,239.06,10.00251046,IMG_3055,20.62,8.625449678,IMG_3088,,4,F,131377,3829,262,0,12.7,10312.2,20.6,circular fish trap,2.938,
1,Negros,Negros Oriental,Bais City,Bais City Fish Market,6/28/2019,Sfu,17.6,14.7,5.5,91.31,5.188068182,IMG_3196,NA,NA,,,,M,76291,239,2222,47.2,55.2,1382.8,40.3,spear,1.823,
